dv,iv,source,N,F_1st,b,se
da_dss,vs_1,Refinitiv,3646,.7455045577623506,-.6019019844189402,.3782518398899635
da_dss,vs_4,Refinitiv,3646,.9589364209031841,-.1513630384233162,.1736728688800819
da_dss,vs_6,Refinitiv,3646,.8461738368904894,-.3515762004336667,.2284406283037832
da_dss,vs_11,Refinitiv,3646,.8431358541191225,-.1929740623914349,.1409860985888189
da_dss,emp_kld,KLD,3473,.5426555860307345,-.0885771905884963,.0260216146985126
da_dss,env_kld,KLD,3473,.8671707898853825,-.0215184517066678,.0146344686908956
da_dss,kld_es_total,KLD,3473,.7098102276247164,-.0441247599793589,.0132076414078698
da_dss,environmental_pillar_score,MSCI,6255,.9582845932181828,.015154686742273,.0034584799555783
da_dss,social_pillar_score,MSCI,6255,.6521012970162523,-.0392994554904353,.0141722020457462
da_dss,weighted_average_score,MSCI,6255,1.066621555952933,.0042488441977003,.0098413594236153
da_ko,vs_1,Refinitiv,3646,1.000527129463674,-.5864366560572803,.3713100693761276
da_ko,vs_4,Refinitiv,3646,1.266890329133614,-.1446000140797039,.1724221571763646
da_ko,vs_6,Refinitiv,3646,1.120602185886917,-.348604116543379,.2297066757158603
da_ko,vs_11,Refinitiv,3646,1.119775062723746,-.1893471269510418,.1388448868201468
da_ko,emp_kld,KLD,3473,.7253888207176165,-.0862359249155779,.0259417447088727
da_ko,env_kld,KLD,3473,1.111749933813868,-.0210928978076896,.0146092166774619
da_ko,kld_es_total,KLD,3473,.9318548501079315,-.0424875114139424,.0130681294870524
da_ko,environmental_pillar_score,MSCI,6255,1.193973247325035,.015106029661624,.0035429827992107
da_ko,social_pillar_score,MSCI,6255,.8564382150440858,-.0373512782558207,.0138240153053581
da_ko,weighted_average_score,MSCI,6255,1.326304943624128,.0045124292136634,.0100231315345124
da_yu,vs_1,Refinitiv,3745,1.149899751544396,-.6530143091851944,1.030858265210656
da_yu,vs_4,Refinitiv,3745,1.19969924589333,-.0860976932884213,.6608193768737877
da_yu,vs_6,Refinitiv,3745,1.128939279914029,-.572784689528425,.5826414861360628
da_yu,vs_11,Refinitiv,3745,1.150153389410694,-.2740511671537008,.3912047826727849
da_yu,emp_kld,KLD,3559,.5771820065072018,-.3664920937827589,.1477569930639053
da_yu,env_kld,KLD,3559,.9957300469451656,-.0227381000207297,.0472961541412108
da_yu,kld_es_total,KLD,3559,.8039875401623934,-.1633195242664129,.0817516554453569
da_yu,environmental_pillar_score,MSCI,6419,1.213027511072091,-.0048764990168811,.00934240753775
da_yu,social_pillar_score,MSCI,6419,.8282841100187819,-.0999424677965174,.0424492586813186
da_yu,weighted_average_score,MSCI,6419,1.172523205898731,-.036272379219525,.0260242742631554
da_ge,vs_1,Refinitiv,3745,1.135364191621845,-.7678300117136759,1.042726961140837
da_ge,vs_4,Refinitiv,3745,1.187642329608352,-.2575405932466237,.6666765505864272
da_ge,vs_6,Refinitiv,3745,1.1208884648938,-.6250836751425501,.5807780826148076
da_ge,vs_11,Refinitiv,3745,1.121041073415065,-.3632249796645513,.4005010863102233
da_ge,emp_kld,KLD,3559,.5873390656113575,-.358074933834108,.1474698405970392
da_ge,env_kld,KLD,3559,.9923143731770407,-.0291658278059307,.047409246888724
da_ge,kld_es_total,KLD,3559,.8059480876367131,-.1617904291222806,.0820745432669419
da_ge,environmental_pillar_score,MSCI,6419,1.219079858242547,-.007025166380803,.0090369443890986
da_ge,social_pillar_score,MSCI,6419,.8497778420977214,-.0963692934296028,.0405727944429658
da_ge,weighted_average_score,MSCI,6419,1.191590318050571,-.0318028022827143,.0257778211759659
da_dechow,vs_1,Refinitiv,3745,2.048907797839474,-2.1291950677826,2.047273955848998
da_dechow,vs_4,Refinitiv,3745,2.397292405961109,-.5753716746422507,.985817183257463
da_dechow,vs_6,Refinitiv,3745,1.936346506594022,-1.885620147775937,1.245172185663733
da_dechow,vs_11,Refinitiv,3745,1.973044800273813,-1.020459328144803,.8299479732518363
da_dechow,emp_kld,KLD,3559,1.050948883398131,-.4434560737622157,.1975465679879453
da_dechow,env_kld,KLD,3559,1.608104077426896,.0695150067492731,.0670970492494044
da_dechow,kld_es_total,KLD,3559,1.453216463505544,-.1509682076539824,.109139767401856
da_dechow,environmental_pillar_score,MSCI,6419,2.382320756955164,.035845640902028,.0139319940175988
da_dechow,social_pillar_score,MSCI,6419,2.126886880179892,-.0820848985094865,.0486592885905581
da_dechow,weighted_average_score,MSCI,6419,2.47483162751812,.0230767112717492,.0442232468618158
rem_heese,vs_1,Refinitiv,3299,11.97232949929567,-1.675830249685017,1.183606940185624
rem_heese,vs_4,Refinitiv,3299,12.7308898716208,-.9850487542468335,.6871652245972107
rem_heese,vs_6,Refinitiv,3299,13.6178965874271,-.970051971934254,.8136629011628532
rem_heese,vs_11,Refinitiv,3299,12.51437220071771,-.6652540912066183,.4557236683696015
rem_heese,emp_kld,KLD,3148,11.47176395525887,-.272171908305688,.086061383897069
rem_heese,env_kld,KLD,3148,29.91981332642072,.0191765004098808,.0295775525454758
rem_heese,kld_es_total,KLD,3148,23.67287294066784,-.0915035923710351,.0322490449059594
rem_heese,environmental_pillar_score,MSCI,5714,17.59898309287688,.0223751639574507,.0095169718556695
rem_heese,social_pillar_score,MSCI,5714,14.71858351698379,-.0528458741909862,.03159364007922
rem_heese,weighted_average_score,MSCI,5714,18.30268494593235,-.0054180900256135,.0387479874743363
